city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,ubicacion
Tokyo,Tokyo,35.6870,139.7495,Japan,JP,JPN,Tōkyō,primary,37785000,1392685764,POINT(139.7495 35.687)
Jakarta,Jakarta,-6.1750,106.8275,Indonesia,ID,IDN,Jakarta,primary,33756000,1360771077,POINT(106.8275 -6.175)
Delhi,Delhi,28.6100,77.2300,India,IN,IND,Delhi,admin,32226000,1356872604,POINT(77.23 28.61)
Guangzhou,Guangzhou,23.1300,113.2600,China,CN,CHN,Guangdong,admin,26940000,1156237133,POINT(113.26 23.13)
Mumbai,Mumbai,19.0761,72.8775,India,IN,IND,Mahārāshtra,admin,24973000,1356226629,POINT(72.8775 19.0761)
Manila,Manila,14.5958,120.9772,Philippines,PH,PHL,Manila,primary,24922000,1608618140,POINT(120.9772 14.5958)
Shanghai,Shanghai,31.2286,121.4747,China,CN,CHN,Shanghai,admin,24073000,1156073548,POINT(121.4747 31.2286)
São Paulo,Sao Paulo,-23.5504,-46.6339,Brazil,BR,BRA,São Paulo,admin,23086000,1076532519,POINT(-46.6339 -23.5504)
Seoul,Seoul,37.5667,126.9833,"Korea, South",KR,KOR,Seoul,primary,23016000,1410836482,POINT(126.9833 37.5667)
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MX,MEX,Ciudad de México,primary,21804000,1484247881,POINT(-99.1333 19.4333)
Kolkāta,Kolkata,22.5675,88.3700,India,IN,IND,West Bengal,admin,21747000,1356060520,POINT(88.37 22.5675)
Cairo,Cairo,30.0444,31.2358,Egypt,EG,EGY,Al Qāhirah,primary,20296000,1818253931,POINT(31.2358 30.0444)
Karachi,Karachi,24.8600,67.0100,Pakistan,PK,PAK,Sindh,admin,20249000,1586129469,POINT(67.01 24.86)
Dhaka,Dhaka,23.7289,90.3944,Bangladesh,BD,BGD,Dhaka,primary,19134000,1050529279,POINT(90.3944 23.7289)
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18832416,1840034016,POINT(-73.9249 40.6943)
Beijing,Beijing,39.9067,116.3975,China,CN,CHN,Beijing,primary,18522000,1156228865,POINT(116.3975 39.9067)
Bangkok,Bangkok,13.7525,100.4942,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,18007000,1764068610,POINT(100.4942 13.7525)
Shenzhen,Shenzhen,22.5415,114.0596,China,CN,CHN,Guangdong,minor,17619000,1156158707,POINT(114.0596 22.5415)
Moscow,Moscow,55.7506,37.6175,Russia,RU,RUS,Moskva,primary,17332000,1643318494,POINT(37.6175 55.7506)
Buenos Aires,Buenos Aires,-34.6036,-58.3814,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary,16710000,1032717330,POINT(-58.3814 -34.6036)
Lagos,Lagos,6.4550,3.3841,Nigeria,NG,NGA,Lagos,minor,16637000,1566593751,POINT(3.3841 6.455)
Bangalore,Bangalore,12.9789,77.5917,India,IN,IND,Karnātaka,admin,15386000,1356410365,POINT(77.5917 12.9789)
Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019,Vietnam,VN,VNM,Hồ Chí Minh,admin,15136000,1704774326,POINT(106.7019 10.7756)
Ōsaka,Osaka,34.6939,135.5022,Japan,JP,JPN,Ōsaka,admin,15126000,1392419823,POINT(135.5022 34.6939)
Chengdu,Chengdu,30.6600,104.0633,China,CN,CHN,Sichuan,admin,14645000,1156421555,POINT(104.0633 30.66)
Istanbul,Istanbul,41.0136,28.9550,Turkey,TR,TUR,İstanbul,admin,14441000,1792756324,POINT(28.955 41.0136)
Tehran,Tehran,35.6889,51.3897,Iran,IR,IRN,Tehrān,primary,14148000,1364305026,POINT(51.3897 35.6889)
Kinshasa,Kinshasa,-4.3219,15.3119,Congo (Kinshasa),CD,COD,Kinshasa,primary,12836000,1180000363,POINT(15.3119 -4.3219)
Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056,Brazil,BR,BRA,Rio de Janeiro,admin,12592000,1076887657,POINT(-43.2056 -22.9111)
Chennai,Chennai,13.0825,80.2750,India,IN,IND,Tamil Nādu,admin,12395000,1356374944,POINT(80.275 13.0825)
Xi’an,Xi'an,34.2611,108.9422,China,CN,CHN,Shaanxi,admin,12328000,1156244079,POINT(108.9422 34.2611)
Lahore,Lahore,31.5497,74.3436,Pakistan,PK,PAK,Punjab,admin,12306000,1586801463,POINT(74.3436 31.5497)
Chongqing,Chongqing,29.5637,106.5504,China,CN,CHN,Chongqing,admin,12135000,1156936556,POINT(106.5504 29.5637)
Los Angeles,Los Angeles,34.1141,-118.4068,United States,US,USA,California,,11885717,1840020491,POINT(-118.4068 34.1141)
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,"London, City of",primary,11262000,1826645935,POINT(-0.1275 51.5072)
Paris,Paris,48.8567,2.3522,France,FR,FRA,Île-de-France,primary,11060000,1250015082,POINT(2.3522 48.8567)
Linyi,Linyi,35.1038,118.3564,China,CN,CHN,Shandong,,10820000,1156086320,POINT(118.3564 35.1038)
Dongguan,Dongguan,23.0210,113.7520,China,CN,CHN,Guangdong,minor,10646000,1156478242,POINT(113.752 23.021)
Baoding,Baoding,38.8740,115.4640,China,CN,CHN,Hebei,minor,10546831,1156256829,POINT(115.464 38.874)
Hyderābād,Hyderabad,17.3617,78.4747,India,IN,IND,Telangāna,admin,10494000,1356871768,POINT(78.4747 17.3617)
Tianjin,Tianjin,39.1336,117.2054,China,CN,CHN,Tianjin,admin,10368000,1156174046,POINT(117.2054 39.1336)
Lima,Lima,-12.0600,-77.0375,Peru,PE,PER,Lima,primary,10320000,1604728603,POINT(-77.0375 -12.06)
Wuhan,Wuhan,30.5934,114.3046,China,CN,CHN,Hubei,admin,10251000,1156117184,POINT(114.3046 30.5934)
Nanyang,Nanyang,32.9902,112.5285,China,CN,CHN,Henan,,9577771,1156192287,POINT(112.5285 32.9902)
Hangzhou,Hangzhou,30.2670,120.1530,China,CN,CHN,Zhejiang,admin,9523000,1156275243,POINT(120.153 30.267)
Nagoya,Nagoya,35.1833,136.9000,Japan,JP,JPN,Aichi,admin,9197000,1392407472,POINT(136.9 35.1833)
Luanda,Luanda,-8.8383,13.2344,Angola,AO,AGO,Luanda,primary,9051000,1024949724,POINT(13.2344 -8.8383)
Foshan,Foshan,23.0214,113.1216,China,CN,CHN,Guangdong,minor,9042500,1156738403,POINT(113.1216 23.0214)
Kuala Lumpur,Kuala Lumpur,3.1686,101.6980,Malaysia,MY,MYS,Kuala Lumpur,primary,8911000,1458988644,POINT(101.698 3.1686)
